Key,Name,States,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20
104,Albany-Schenectady, NY,-73.91585,42.78470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,6,11,11,25,41,72,80,122,189,234,238,304,336,388,429,478,503,533,549,598,644,697,744,804,836,886,914,1023,1113,1153,1204,1257,1418,1447,1501,1620,1683,1762,1781,1872,1955,1912,2001,2396,2518,2585,2659,2762,2967,3100,3181,3236,3304,3350,3471,3534,3626,3719,3759,3808,3876,3921,3973,4032,4100,4150,4221,4276,4319,4364,4450,4485,4522,4556,4567,4589,4622,4672,4711,4746,4780,4812,4856,4875,4913,4946,4965,4989,5007,5019,5041,5067,5083,5101,5117,5133,5141,5153,5190,5215,5227,5251,5273,5280,5310,5340,5364,5391,5404,5409,5430,5471,5498,5527,5546,5575,5597,5626,5654,5676,5717,5772,5796,5859,5918,5942,5980,6008,6022,6030,6089,6134,6197,6245,6302,6340,6355,6393,6437,6498,6532,6586,6609,6632,6670,6706,6743,6769,6795,6823,6842,6887,6916,6946,6974,6996,7044,7053,7087,7109,7139,7175,7203,7225,7234,7280,7296,7348,7371,7410,7438,7458,7491,7514,7557,7601,7624,7660,7672,7705,7726,7760,7838,7897,7934,7950,7977,8007,8060,8087,8130,8163,8186,8204,8232,8265,8298,8339,8372,8399,8434,8462,8493,8556,8614,8657,8679,8719,8758,8802,8863,8895,8934,8969,9021,9064,9131,9184,9228,9272,9310,9344,9396,9465,9540,9632,9704,9756,9834,9887,9979,10064,10142,10228,10291,10365,10456,10567,10725,10866,10959,11068,11246,11393,11569,11771,11977,12050,12157,12384,12586,12813,13014,13322,13505,13745,13982,14250,14540,14881,15060,15341,15597,16011,16372,16770,17280,17880
106,Albuquerque-Santa Fe-Las Vegas, NM,-106.59345,35.21040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,11,11,19,20,25,32,37,48,48,58,65,76,76,90,142,158,158,213,213,241,330,334,433,462,524,524,561,685,691,791,806,818,868,868,917,976,999,1034,1034,1101,1142,1176,1204,1235,1245,1298,1329,1382,1414,1495,1541,1571,1600,1629,1668,1701,1724,1754,1781,1813,1832,1862,1903,1933,1957,1972,1985,2093,2068,2112,2112,2158,2174,2204,2235,2295,2312,2340,2360,2373,2398,2433,2457,2478,2501,2535,2550,2566,2587,2623,2646,2671,2699,2717,2762,2797,2795,2854,2893,2912,2947,2977,3024,3099,3163,3217,3277,3347,3399,3446,3573,3652,3752,3829,3915,4033,4171,4297,4416,4515,4666,4744,4835,5054,5203,5399,5531,5662,5794,5917,6061,6220,6356,6478,6612,6711,6833,6960,7063,7139,7235,7341,7369,7460,7533,7604,7657,7705,7783,7832,7881,7929,7992,8051,8091,8122,8165,8196,8259,8347,8407,8440,8570,8599,8623,8708,8789,8820,8864,8902,8925,8965,8997,9056,9088,9130,9152,9164,9189,9204,9249,9276,9303,9340,9375,9402,9432,9491,9540,9577,9592,9635,9673,9712,9798,9875,9941,9994,10064,10130,10212,10283,10421,10526,10597,10666,10838,11015,11164,11361,11581,11702,11875,12073,12348,12722,13011,13283,13515,13694,13918,14310,14598,14933,15315,15561,15810,16018,16386,16807,17278,17549,17880,18257,18691,19077,19423,20036,20552,21052,21745,22310,22936,23873,24481,25022,25470,26059,27090,28663,30564,32178,33231,34379,35629,36583,37500,38480,39711,40845,41497,42442,43863,43863,45541,46660,47535
107,Altoona-Huntingdon, PA,-78.24471,40.46335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,7,5,5,6,7,9,9,9,11,12,14,17,20,20,22,22,24,25,26,26,26,27,27,29,35,39,43,43,45,47,52,61,63,71,80,82,84,85,137,145,147,209,216,220,228,232,236,242,252,252,252,254,265,269,273,274,276,276,276,277,277,280,280,281,282,284,286,287,289,289,289,289,290,290,291,294,294,294,294,294,294,296,298,298,298,301,311,311,314,316,316,323,323,324,326,333,335,338,341,343,344,347,355,359,362,365,367,376,381,392,396,402,411,420,431,430,441,450,461,462,478,486,488,491,502,512,523,528,536,551,565,579,592,601,608,611,617,637,665,684,690,695,707,719,736,739,754,757,764,772,781,791,803,820,825,835,841,849,872,876,881,883,886,891,895,903,910,919,924,929,930,933,941,954,980,985,998,1008,1031,1049,1069,1082,1093,1110,1133,1150,1172,1172,1223,1241,1259,1321,1337,1353,1385,1448,1478,1515,1530,1573,1620,1678,1723,1744,1783,1845,1908,1951,1999,2033,2060,2144,2194,2261,2311,2393,2497,2584,2668,2764,2883,2943,3008,3109,3162,3230,3322,3517,3608,3776,3882,3970,4091,4187,4333,4593,4719,4903,5015,5127,5252,5400,5593,5762,5933,6065,6179,6296,6433,6599,6874
108,Amarillo-Pampa-Borger, TX,-101.82371,35.22629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,5,6,6,6,8,8,13,13,20,35,36,46,57,83,89,91,103,127,132,144,152,153,172,172,199,221,237,264,286,311,329,372,407,483,546,563,646,694,782,887,1021,1120,1190,1269,1318,1406,1472,1559,1588,1588,1666,1852,1977,2063,2800,2859,2865,2892,2948,2960,2960,3013,3025,3025,3025,3042,3064,3064,3136,3143,3143,3199,3300,3363,3391,3644,3647,3647,3664,3671,3691,3704,3704,3706,3706,3717,3734,3754,3767,3774,3774,3777,3793,3814,3836,3860,3870,3870,3870,3909,3946,4014,4060,4064,4064,4064,4132,4195,4246,4289,4322,4322,4322,4398,4456,4514,4577,4675,4675,4678,4785,4886,4960,5050,5082,5082,5082,5166,5229,5296,5366,5429,5429,5429,5527,5619,5700,5755,5770,5770,5798,5848,5887,5960,6048,6105,6105,6126,6201,6275,6311,6361,6395,6395,6410,6476,6519,6568,6623,6642,6642,6663,6727,6794,6842,6934,6958,6958,6958,6971,7008,7041,7170,7210,7210,7236,7340,7457,7561,7605,7658,7658,7699,7841,7971,8069,8148,8196,8196,8297,9455,9582,9731,9889,9960,9960,10021,10156,10345,10585,10884,10982,10986,11081,11356,11641,11885,12085,12196,12207,12316,12551,12794,12888,13177,13459,13459,13622,14021,14190,14279,14515,14695,14698,15015,15714,16303,16834,17260,17618,17618,17857,18352,19099,19443,20087,20307,20307,20556,21141,21609,22066,22533,22845,22845,23092,23785,24438,24920,24920,24975,24975,25208,25803,26340,26921,27464,27762
118,Appleton-Oshkosh-Neenah, WI,-88.51197,44.22245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,6,7,8,8,8,8,8,10,11,11,12,15,20,24,33,41,46,46,45,50,53,53,55,58,58,60,61,63,67,68,70,76,82,82,82,86,90,96,98,101,104,108,117,120,138,146,155,164,180,188,203,230,244,250,258,261,268,278,295,308,319,324,330,347,363,401,416,425,445,460,471,483,512,537,547,556,580,602,634,666,696,735,755,801,832,862,887,923,941,961,969,993,1025,1046,1070,1089,1102,1123,1133,1156,1171,1187,1212,1231,1253,1285,1304,1313,1342,1369,1386,1425,1434,1477,1513,1544,1579,1601,1644,1688,1707,1743,1797,1825,1866,1906,1934,1985,2020,2067,2134,2153,2182,2210,2264,2311,2364,2413,2434,2480,2528,2579,2628,2713,2748,2799,2845,2866,2916,2974,3019,3071,3091,3091,3175,3222,3270,3325,3353,3397,3441,3509,3598,3686,3783,3857,3896,4008,4063,4143,4336,4446,4546,4618,4685,4774,4886,5069,5249,5410,5510,5701,5881,6138,6555,6864,7088,7299,7563,7723,8072,8420,8925,9198,9596,10053,10297,10744,11155,11579,11903,12402,12706,13063,13546,13872,14207,14621,14846,15296,15571,16030,16474,16474,16474,18356,18819,19111,19493,19926,20400,20796,21034,21453,21635,22050,22454,22836,23121,23343,23711,24101,24480,24880,25449,25770,26120,26479,26827,27496,28096,28566,28874,29189,29516,29918,30344,30704,31114,31399,31590,31930,32177,32493,32500,32887,33043,33180,33355,33659,34023,34415,34720
120,Asheville-Marion-Brevard, NC,-82.51023,35.54196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,18,22,29,37,40,43,45,51,58,63,69,95,100,104,105,114,129,131,142,163,164,169,179,181,187,199,208,208,210,216,231,238,243,245,248,278,299,305,313,324,331,340,345,359,364,392,399,403,417,425,442,473,497,523,537,541,556,607,636,647,663,681,692,715,734,749,780,805,826,845,859,884,907,944,958,969,982,1005,1042,1066,1104,1136,1160,1176,1189,1214,1244,1285,1310,1316,1334,1355,1383,1410,1444,1473,1533,1579,1615,1660,1706,1760,1817,1858,1908,2003,2082,2142,2234,2300,2415,2483,2548,2631,2728,2834,2946,3040,3162,3223,3330,3438,3552,3633,3686,3782,3883,3997,4085,4232,4290,4342,4450,4521,4612,4714,4781,4839,4889,4942,5004,5079,5154,5245,5299,5335,5385,5445,5530,5637,5677,5707,5744,5767,5803,5874,5931,5982,6021,6053,6072,6096,6153,6193,6263,6292,6325,6333,6387,6426,6483,6535,6567,6598,6640,6681,6732,6784,6823,6856,6877,6927,6979,7046,7098,7150,7214,7241,7274,7298,7305,7392,7454,7551,7574,7641,7696,7739,7807,7876,7968,8034,8085,8159,8221,8304,8413,8483,8546,8578,8626,8668,8823,8927,9017,9081,9151,9268,9324,9438,9558,9647,9748,9777,9864,9932,10054,10134,10213,10269,10309,10417,10512,10616,10651,10777,10907,11003,11149,11264,11359,11523,11652,11828,11930,12072,12313,12313,12593,12732,12901,13033,13146,13284,13506,13714,13954
122,Atlanta--Athens-Clarke County--Sandy Springs, GA-AL,-84.30360,33.85564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,10,17,22,28,36,61,86,107,128,175,234,353,398,452,571,719,812,987,1314,1611,1782,1968,2553,2811,3142,3663,4008,4307,4705,5269,5727,5991,6390,6704,6957,7526,8577,8847,9306,10156,10453,10799,11494,11657,12276,12992,13386,13758,13889,14436,14907,15471,15955,16574,17267,17513,18059,18480,19164,19445,19816,20195,20608,20795,21161,21383,21678,22040,22193,22241,22524,22935,23357,23793,24210,24521,24947,25508,26290,27034,27515,28093,28236,28338,28780,28896,29471,30112,30681,30966,31021,31527,32003,32531,33160,33696,34008,34165,34578,35043,35827,36296,37057,37384,37820,38748,40165,41465,42284,43198,44042,44616,44909,46858,48500,50009,52071,54102,55143,56142,57562,59282,60471,63084,64827,65957,68163,69488,71482,73300,75475,77646,78999,80029,81964,83807,86379,88919,91188,92332,93596,95872,97962,100408,102653,104530,106059,107078,109005,111543,113389,115909,118275,119757,120976,123379,125443,126852,128798,130566,131490,132294,134061,135641,137564,139419,140917,141809,142477,143801,145755,147234,148516,149961,150505,151259,152689,153772,155278,156266,157618,158417,158715,159520,160624,161677,162599,163709,164390,164923,165927,167110,168144,169201,170265,170832,171381,171993,173139,174062,175112,176004,176407,176813,177421,178364,179316,180097,181029,181533,181992,182628,183679,184620,185721,186619,187440,187995,188835,189843,190896,192041,193021,193851,194322,195231,196112,197130,198607,199633,200509,201104,201886,202930,203962,204844,206414,207069,207736,226796,228798,230293,232094,233072,234344,235193,238212,239582,241381,243005,244977,246251,246886,250005,252049,254224,256467,261101,262678,263857,266131,268345,270519,272487,274386,275498,276941,280096,283668,287159,291401,294703
140,Bend-Prineville, OR,-121.14805,43.93670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,6,6,6,8,9,10,10,10,10,15,18,20,23,25,24,27,32,37,37,40,40,41,45,51,51,52,55,55,56,56,60,62,64,65,65,65,67,71,71,72,74,76,76,76,77,77,79,79,80,81,82,84,85,86,87,87,91,90,92,95,96,97,102,108,117,118,117,121,124,125,126,126,127,127,130,131,133,133,134,140,140,140,139,141,140,140,143,145,145,145,145,146,148,148,151,151,152,156,158,162,164,168,172,180,182,191,193,203,213,223,232,234,235,239,246,255,270,286,286,295,308,336,348,361,379,399,408,417,434,449,470,492,504,513,533,549,559,573,580,583,591,597,610,625,643,651,660,666,667,672,678,689,691,698,703,708,709,711,718,726,726,727,731,735,741,741,744,748,748,749,753,756,757,760,761,763,765,767,770,779,782,782,788,792,799,806,820,829,837,848,850,855,871,887,902,914,922,936,942,943,961,969,980,992,1003,1019,1031,1046,1060,1065,1067,1076,1085,1104,1122,1128,1145,1151,1161,1161,1198,1213,1230,1241,1246,1273,1298,1325,1356,1383,1414,1426,1452,1501,1544,1579,1598,1625,1662,1681,1715,1746,1800,1813,1848,1879,1925,1961,2024,2058,2101,2153,2199,2282,2282,2445,2510,2597,2655,2717,2761,2806,2953,3043
142,Birmingham-Hoover-Talladega, AL,-86.78387,33.55065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,16,22,28,37,55,70,94,108,125,163,239,283,324,367,409,443,473,506,559,643,684,735,777,831,882,956,1003,1057,1104,1143,1160,1191,1207,1221,1278,1307,1333,1358,1423,1460,1504,1540,1574,1596,1625,1642,1668,1707,1733,1774,1799,1839,1873,1911,1955,1981,2004,2023,2068,2130,2176,2236,2314,2351,2389,2437,2494,2559,2642,2709,2772,2861,2952,3008,3107,3226,3323,3401,3464,3497,3535,3599,3723,3829,3889,3981,4091,4217,4370,4528,4688,4849,4900,5038,5188,5345,5448,5560,5689,5851,6092,6309,6578,6865,6887,7354,7672,7946,8175,8652,8882,9261,9509,9704,10116,10642,11021,11516,11953,12538,12847,13386,14000,14588,15059,15622,16024,16404,16776,17264,17825,18421,18749,19145,19449,19837,20292,20852,21319,21673,22082,22384,22650,23208,23699,24118,24348,24587,24848,25110,25308,25495,25826,26088,26286,26621,26982,27328,27619,27813,27957,28135,28276,29000,29303,29631,30233,30654,30899,31400,31582,31866,32123,32408,32630,32922,33096,33318,33614,33973,34251,34555,34753,35023,35321,35543,35838,36175,36417,36620,36862,37037,37350,37678,37921,38057,38191,38431,38902,39113,39388,39713,39908,40067,40283,40543,40658,41105,41490,41692,41876,42248,42471,42821,43151,43506,43772,44042,44389,44715,45071,45447,45702,46128,46435,46833,47232,47654,48019,48537,48931,49165,49598,50109,50550,51074,51542,52010,52389,53015,53017,53614,54206,55169,55814,56410,56858,57348,58189,58904,59621,60342,60957,61458,62330,63001,63794,64063,64724,65522,66290,67355,68619,69641,70789,71967
144,Bloomington-Bedford, IN,-86.54142,39.09907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,6,9,12,18,28,39,45,50,56,60,75,94,102,102,115,132,134,147,156,170,177,183,187,197,205,211,214,216,220,223,226,227,234,234,235,239,238,245,248,259,259,264,265,270,273,282,286,287,293,294,296,297,298,304,310,315,320,322,326,327,330,331,334,338,342,352,354,360,364,366,368,369,371,376,381,381,384,387,390,393,398,398,405,407,409,427,430,433,437,441,445,450,451,464,471,482,493,498,516,532,544,549,565,585,595,596,607,617,633,644,652,667,682,693,713,738,776,805,818,829,839,882,922,938,962,970,990,1013,1035,1051,1077,1088,1092,1108,1113,1128,1142,1175,1192,1200,1217,1229,1245,1256,1270,1281,1287,1295,1299,1318,1338,1357,1375,1502,1525,1557,1583,1607,1639,1684,1746,1789,1849,1893,1926,2013,2068,2125,2158,2197,2235,2477,2599,2639,2680,2835,2869,2904,2964,3032,3075,3091,3144,3185,3209,3239,3279,3313,3342,3360,3410,3434,3455,3500,3529,3567,3597,3622,3665,3714,3768,3805,3846,3894,3916,3947,4026,4076,4128,4171,4194,4251,4336,4381,4453,4490,4539,4584,4669,4717,4806,4866,4893,4956,5011,5107,5184,5315,5429,5570,5611,5723,5783,5919,6036,6225,6404,6481,6620,6791,6938,7126,7336,7457,7549,7641,7751,7856,7988,8067,8146,8306,8488,8633,8829,8984,9162
