Key,Name,Namelsad,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20
0305R,Blackfeet,Blackfeet Indian Reservation,-112.99342,48.70514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,9,18,18,18,22,22,22
5540R,Caddo-Wichita-Delaware,Caddo-Wichita-Delaware OTSA,-98.37534,35.17365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,5,6,6,6,8,9,9,9,10,35,48,48,48,51,52,52,53,53,53,53,58,58,61,61,62,64,64,69,72,77,77,89,97,100,108,108,109,110,110,111,112,114,120,122,126,132,132,136,136,146,150,153,154,155,158,158,162,164,167,168,168,168,170,170,174,174,173,173,175,175,176,176,178,181,181,180,180,181,181,182,182,184,184,184,185,186,189,190,191,193
9550R,Cher-O-Creek,Cher-O-Creek SDTSA,-85.29940,31.15198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,6,9,9,8,9,12,14,15,22,25,25,30,33,37,44,47,52,54,57,64,63,66,70,73,75,78,76,76,77,79,84,87,90,90,93,95,97,98,99,100,102,104,107,107,114,115,125,129,132,132,137,141,149,150,156,161,164,172,183,185,188,204,209,220,221,223,226,226,227,237,245,246,253,259,270,279,293,307,315,319,328,333,341,344,345,348,354,372,373,396,420,425,420,424,434,446,461,479
5550R,Cherokee,Cherokee OTSA,-95.38158,36.38898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,7,12,19,29,37,44,51,64,75,88,102,115,132,150,155,166,186,214,264,292,310,315,326,326,326,378,392,440,456,470,486,498,509,511,537,545,561,574,584,590,595,605,611,619,627,634,635,640,644,645,645,646,650,653,653,658,659,663,667,678,678,679,683,686,689,689,696,696,706,713,721,730,732,735,745,747,760,767,779,791,806,815,820,832,837,870,890,906,931,938,951,973,987,1009,1024,1040,1051,1096,1111,1137,1162,1196
5560R,Cheyenne-Arapaho,Cheyenne-Arapaho OTSA,-98.19987,35.59157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,6,8,9,14,14,16,20,24,29,36,39,41,42,44,50,50,58,64,68,68,71,77,80,82,82,82,92,95,96,102,106,110,113,117,117,121,122,123,123,123,126,130,132,132,136,136,139,141,141,145,147,148,149,150,151,152,154,154,158,160,163,164,167,169,170,170,169,175,175,184,192,194,200,206,205,208,208,211,214,214,218,221,227,237,241,248,261,276,288,294,299,308,322,336,352,364,375,381,394,403,407,433,458
0605R,Cheyenne River,Cheyenne River Reservation,-100.95920,45.13667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,7,9,9
5580R,Chickasaw,Chickasaw OTSA,-97.43216,34.67781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,5,5,7,9,10,12,14,18,23,32,37,41,47,47,53,62,60,66,67,66,67,71,72,75,78,78,78,65,95,98,102,113,115,120,119,119,127,127,147,169,172,177,178,186,187,189,192,195,196,197,203,206,211,218,223,224,233,245,247,263,272,284,289,295,298,318,323,328,338,338,350,356,360,374,381,381,399,401,408,409,415,419,422,442,451,463,469,485,491,500,518,526,539,543,566,582,593,615,629,660,680,693,758,801
6330R,Chitina,Chitina ANVSA,-144.71268,61.47503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,4,4
5590R,Choctaw,Choctaw OTSA,-95.19403,34.21064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,6,6,6,7,9,11,15,18,18,20,20,22,23,23,24,30,32,37,39,39,39,38,47,52,53,55,56,55,62,64,68,68,70,73,80,84,83,84,87,87,87,87,87,87,88,88,89,88,90,93,98,102,111,112,119,126,133,141,145,152,156,161,172,172,181,254,272,278,291,295,300,316,334,351,359,382,388,394,397,412,428,470,486,537,597,630,649,668,696,720,739,757,776,829,850,878,917,951
5600R,Citizen Potawatomi Nation-Absentee Shawnee,Citizen Potawatomi Nation-Absentee Shawnee OTSA,-97.28760,35.20434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,9,11,12,13,16,22,28,41,41,48,53,62,70,93,130,141,180,183,193,222,232,255,261,272,290,293,305,322,333,333,333,349,360,381,409,426,433,440,443,446,453,460,464,474,481,484,488,491,499,501,507,509,510,510,511,513,513,514,522,525,525,527,528,538,537,543,546,547,550,552,555,557,559,559,565,569,574,577,583,582,584,588,594,595,599,606,611,617,624,639,654,684,700,723,762,772,801,824,854,876,892,951,975,990,1016,1044,1115,1150
9635R,Coharie,Coharie SDTSA,-78.36914,34.98820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,5,5,10,10,11,11,13,13,17,17,18,19,22,22,22,23,25,31,36,39,39,44,51,63,65,83,88,88,100,108,126,136,145,156,167,170,193,211,219,232,244,259,259,273,302,345,367,385,408,409,409,413,429,462,479,499,499,510,531,553,571,597,621,621,627,642,702,728,760,779,783,791,802,835,865,877,894,907,940,947,973,986,1018,1030,1040,1060,1071,1084,1093
0760R,Colville,Colville Reservation,-118.51540,48.47114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
